date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Station Name,Latitude,Longitude,Elevation
2019-10-21,22.0,33.6,29.5,48.0,0.0,9.4,8.0,90.0,3.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-10-11,19.0,32.6,27.6,52.0,0.0,8.8,8.0,90.0,5.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-10-06,20.0,32.0,26.2,58.0,0.0,9.7,2.0,20.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-10-01,20.0,32.2,26.2,52.0,0.0,8.9,2.0,30.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-09-26,20.0,32.0,25.8,68.0,0.0,8.3,3.0,90.0,2.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-09-21,19.0,30.0,24.6,67.0,0.0,6.5,2.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-09-16,19.0,30.4,24.1,72.0,0.0,8.0,3.0,90.0,2.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-09-11,20.0,31.2,25.6,59.0,0.0,9.2,5.0,200.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-09-06,18.0,30.4,24.1,65.0,0.0,9.3,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-09-01,19.0,31.0,24.7,68.0,0.0,9.4,1.0,270.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-08-27,20.0,29.4,24.5,76.0,0.0,8.0,2.0,300.0,1.0,W ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-08-22,20.0,29.0,23.7,75.0,0.0,10.0,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-08-17,19.0,30.0,24.1,68.0,0.0,10.0,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-08-12,18.0,30.0,23.6,74.0,0.0,9.7,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-08-02,17.0,29.6,23.3,69.0,0.0,10.0,2.0,360.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-07-28,18.0,30.0,23.6,68.0,0.0,9.5,2.0,270.0,1.0,W ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-07-23,19.0,30.0,23.3,68.0,0.0,9.8,12.0,360.0,2.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-07-18,19.0,30.0,24.7,66.0,0.0,9.3,3.0,90.0,2.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-07-13,19.0,28.8,23.3,64.0,0.0,8.0,2.0,300.0,1.0,W ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-07-08,19.0,30.0,23.0,76.0,0.0,8.5,4.0,50.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-07-03,19.0,31.2,24.9,73.0,0.0,9.1,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-06-28,18.0,30.0,23.0,72.0,0.0,5.0,5.0,360.0,2.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-06-23,18.0,29.0,23.4,68.0,0.0,9.3,2.0,200.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-06-18,18.0,29.0,23.1,70.0,0.0,9.5,1.0,200.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-06-13,21.0,31.0,25.4,74.0,0.0,8.0,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-06-08,20.0,28.6,23.7,77.0,0.0,4.0,1.0,180.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-05-29,21.0,30.2,25.1,76.0,0.0,9.6,2.0,20.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-05-24,21.0,29.5,24.6,75.0,0.0,8.5,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-05-19,18.0,29.4,23.9,78.0,0.0,8.6,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
